Position_Id,Instrument_Type,Instrument_Name,Asset_Class,Currency,Notional,Market_Value,Delta,Volatility,Gamma,Vega,Theta,Rho
AAPL-003,Equity,AAPL,Equity,USD,39106163,1259630.0903053153,-0.958988313,0.3472321071668074,-0.000852765,0.5155070378159784,-0.004712965,-0.014297238
WTI Crude Oil-007,Commodity Future,WTI Crude Oil,Commodity,USD,24376259,-6256427.82,-1.209388287,0.5693119880969131,0.000621475,-0.00106395,-0.009844165,-0.014542983
TSLA-002,Equity,TSLA,Equity,USD,6846037,6012473.128256308,-1.412292013,0.27688333457219505,-0.000532268,0.066191807,-5.01E-05,0.003786143
TSLA-003,Equity,TSLA,Equity,USD,27430357,9443130.190694999,0.5415468299050529,0.361826137,-0.001058615,0.2226801562186637,-0.0166078,0.005206172
AAPL-004,Equity,AAPL,Equity,USD,26098966,-5704812.001,0.7519393955576869,0.5368944157297837,0.002431132,0.23213135904877746,-0.004853399,-0.002773455
EUR/USD Call Option-002,FX Option,EUR/USD Call Option,FX,USD,21350430,-6261760.704,-0.527008256,0.22677275009688724,-0.010583103,-2.132264902,-0.100508837,-0.125696494
USD/JPY-003,FX Forward,USD/JPY,FX,USD,12785328,-901298.5641,-1.474409983,0.4207901279321744,-0.000186508,0.16368267936555125,-0.013851293,0.034637978
AAPL Call Option-005,Equity Option,AAPL Call Option,Equity,USD,13779946,4955305.542800643,0.20604621473029786,0.466439017,-0.007081531,-1.874624925,-0.023913369,0.000354192
Bund 10Y-003,Bond,Bund 10Y,Rates,EUR,9331261,-4367987.795,0.18774175106082025,0.2317905290778552,2.7832816401298274e-05,-0.051252445,-0.005094964,0.33696805252899864
AAPL Call Option-006,Equity Option,AAPL Call Option,Equity,USD,7941640,-9602401.826,-0.104649352,0.14038765204185444,-0.000889159,-0.347631214,-0.115671753,-0.049396079
Gold-006,Commodity Future,Gold,Commodity,USD,43879557,824412.5606578793,1.2699831204679328,0.32660024804625026,-0.001005492,0.10433227893469034,-0.006436276,0.00951637
Bund 10Y-004,Bond,Bund 10Y,Rates,EUR,8840245,9132011.355,-0.055777475,0.24624095157331588,-0.000105171,-0.003473935,-0.006028337,0.008573533
Gold-007,Commodity Future,Gold,Commodity,USD,15808276,-2174462.892,-0.066150889,0.19655433748571766,-0.000202179,-0.149546216,-0.010861608,0.0007356
WTI Crude Oil-008,Commodity Future,WTI Crude Oil,Commodity,USD,15207626,-1597308.916,-1.108214467,0.5853817208817578,0.003343269,-0.241284193,0.012931411791550315,-0.000634531
MSFT-005,Equity,MSFT,Equity,USD,13586194,9378034.342,0.1359568505505236,0.3261841602858432,0.001214683,0.1035597399181717,-0.013520519,-0.006999416
AAPL-005,Equity,AAPL,Equity,USD,42220986,3892152.232534567,1.3470777642972676,0.5210627316138831,-0.000300476,-0.117030703,-0.015071314,-0.00088363
Bund 10Y-005,Bond,Bund 10Y,Rates,EUR,5237956,4383438.456842503,0.036686412585605045,0.15742457579884753,2.3622107762693637e-05,-0.040123921,0.002061009,-0.029815912
Bund 10Y-006,Bond,Bund 10Y,Rates,EUR,22151629,1254040.1074213516,0.04254876,0.5666935206945218,-0.000163649,-0.081048043,-0.001947266,-0.033247963
WTI Crude Oil-009,Commodity Future,WTI Crude Oil,Commodity,USD,47131920,9492184.217264831,0.4336545370528692,0.4869372890129619,0.00234411,-0.113788855,-0.007055965,0.029756668
USD/JPY-004,FX Forward,USD/JPY,FX,USD,25529327,3777329.688511122,0.3329803918450812,0.49478068590402824,-0.000191529,-0.076045946,-0.003101657,0.009257349
TSLA-004,Equity,TSLA,Equity,USD,2418292,7900655.0321033895,0.5302523866401211,0.2643706813577607,-0.001280002,-0.665988758,-0.017110179,0.005151014
WTI Crude Oil-010,Commodity Future,WTI Crude Oil,Commodity,USD,45045123,3987577.3146644235,0.5367209691186955,0.3171003461927274,0.00372437,-0.047134841,-0.010587447,0.012530426329651774
US 10Y Treasury-004,Bond,US 10Y Treasury,Rates,USD,29792050,4702316.497,0.37101000888049734,0.376344879,-0.000298687,0.026473009,0.000889991,-0.675048863
EUR/USD Call Option-003,FX Option,EUR/USD Call Option,FX,USD,2479897,-4191781.557,-0.636013965,0.48437104491278554,-0.01424442,2.411096372057357,-0.287379565,-0.100352526
TSLA-005,Equity,TSLA,Equity,USD,18171632,-3930426.04,0.3000309462866171,0.5169812136332407,-0.00253602,0.3371534591356438,0.019806182379329462,0.012498220138050117
AAPL-006,Equity,AAPL,Equity,USD,35639628,5659692.991520584,-1.602701592,0.09292492,0.000179729,-0.142438567,-0.007524575,0.001364146
TSLA-006,Equity,TSLA,Equity,USD,41357621,-4065874.217,0.2667988297433962,0.5472343131432459,-0.001894157,-0.338922915,-0.014164799,0.001623368
USD/JPY-005,FX Forward,USD/JPY,FX,USD,12406806,1255401.4160306323,-1.513948538,0.5656231588773435,-0.000889049,0.095073387,0.001460947,-0.01416837
TSLA-007,Equity,TSLA,Equity,USD,1660121,-5012953.782,-0.071270806,0.376088072,0.001776139,-0.369883348,-0.024112501,0.018366406006743826
AAPL-007,Equity,AAPL,Equity,USD,5978263,6339667.6161813885,0.4740497302500454,0.15271283729019824,0.00106483,-0.248204064,-0.009985759,0.014965451479330384
USD/JPY-006,FX Forward,USD/JPY,FX,USD,17320251,-7789972.975,-0.497824513,0.5001281579869191,0.000292093,0.44139415000822985,-0.002194175,0.008360922
AAPL Call Option-007,Equity Option,AAPL Call Option,Equity,USD,3199072,6588932.795233289,0.0781732,0.35172318800227936,-0.018564332,-2.997862332,-0.08064769,0.00799138
Bund 10Y-007,Bond,Bund 10Y,Rates,EUR,40305155,2054596.0101520363,-0.984250702,0.49945804954400874,0.000235175,-0.002955337,0.001067923,-0.02068538
Bund 10Y-008,Bond,Bund 10Y,Rates,EUR,25226308,-6261809.303,-0.514355294,0.49814446962412406,-0.000313733,-0.078736215,-0.005808836,0.4641666851202791
EUR/USD Call Option-004,FX Option,EUR/USD Call Option,FX,USD,30370785,840707.7101223636,0.5506254305096335,0.097701124,0.001331827,0.532264353,-0.124765491,0.11151094067837171
Gold-008,Commodity Future,Gold,Commodity,USD,48997936,-4350023.263,-1.154529583,0.3838617856038652,0.000317016,-0.291762602,0.003037019,0.00811005
AAPL Call Option-008,Equity Option,AAPL Call Option,Equity,USD,38207068,-3530653.305,0.5203619112727902,0.31572936459779666,-0.018376475,0.4086183436073483,-0.218329824,-0.007652952
AAPL Call Option-009,Equity Option,AAPL Call Option,Equity,USD,4415596,-2969439.168,-1.110687962,0.5703657084997347,0.024300411870444343,1.2485509001277344,-0.136471245,0.074611706
TSLA-008,Equity,TSLA,Equity,USD,6875996,-8733615.061,-0.907382457,0.21315271055896795,-1.10E-05,0.13073794433946842,-0.016782066,0.000133778
Bund 10Y-009,Bond,Bund 10Y,Rates,EUR,44263983,9719233.688028347,-0.657255184,0.16330005840500875,-1.05E-05,0.043089222243106705,-0.001950992,-0.554091821
AAPL-008,Equity,AAPL,Equity,USD,28327962,-9369307.437,0.007145695,0.5433977708105351,-0.002883988,0.7152154527815747,-0.017233074,0.015246070186255716
EUR/USD-003,FX Forward,EUR/USD,FX,USD,10029729,3249937.4636855684,0.6412318835468486,0.13179356289505761,0.000239601,-0.169838281,-0.009393227,-0.00974426
EUR/USD-004,FX Forward,EUR/USD,FX,USD,15295753,-2575447.045,-1.278969416,0.4275857022984539,-0.000596562,-0.158554861,-0.003704956,0.032159602
USD/JPY-007,FX Forward,USD/JPY,FX,USD,35614731,2920205.8189339787,-0.217767288,0.21501089761299597,3.5317796824939995e-05,0.1719666571974086,-0.003346722,0.018641414
Bund 10Y-010,Bond,Bund 10Y,Rates,EUR,5179111,-2875034.938,0.9731710791065249,0.36231516552361265,-0.000365415,0.007687419,-0.003209843,-0.377985472
Bund 10Y-011,Bond,Bund 10Y,Rates,EUR,24779850,3475012.9251771737,-0.190435167,0.3889206880626936,-0.000479778,0.020904056459906777,-0.003437845,-0.723338314
EUR/USD Call Option-005,FX Option,EUR/USD Call Option,FX,USD,2953501,4584710.189367216,-0.652651974,0.2795531050768817,-0.017301394,0.20977873194944993,-0.146515936,-0.051131434
EUR/USD-005,FX Forward,EUR/USD,FX,USD,44870473,3811052.807992896,0.4638948208171222,0.5862307391304027,-0.001915374,0.17103251824517848,0.0015404,0.014503993640831717
Bund 10Y-012,Bond,Bund 10Y,Rates,EUR,6382444,-7720760.373,-0.134183356,0.12250824244673852,-5.16E-05,-0.010445018,-0.00356977,-0.336368234
EUR/USD Call Option-006,FX Option,EUR/USD Call Option,FX,USD,49860056,3137864.693093693,-0.561352647,0.26526949897021634,0.016876360491288676,1.927214177245253,0.001092873,-0.100362564
TSLA-009,Equity,TSLA,Equity,USD,2559622,-4400249.011,-1.795713176,0.28671742978087367,0.001470088,0.1536147500954773,-0.00065156,0.020249430647925393
US 10Y Treasury-005,Bond,US 10Y Treasury,Rates,USD,31704183,-9423972.589,0.49099537291221135,0.3970758219478998,-0.000350579,0.08410799,0.001150476,0.5976098951562069
MSFT-006,Equity,MSFT,Equity,USD,14669117,-1703386.562,-0.571032902,0.2739928670069855,-0.001112951,-0.33448083,-0.005615148,0.003759675
AAPL Call Option-010,Equity Option,AAPL Call Option,Equity,USD,4340012,-1329137.944,0.00062842,0.10336980625468978,0.007632721,-1.273324352,-0.067570093,-0.070094038
Gold-009,Commodity Future,Gold,Commodity,USD,45992882,-656517.333,-1.063642717,0.5710864989994544,0.001255028,-0.067199049,-0.002870208,0.035305493
USD/JPY-008,FX Forward,USD/JPY,FX,USD,49747622,4096483.3078143243,1.5620574000834888,0.2788434949012771,-1.23E-05,-0.227626822,0.00218974,0.018351383107502218
US 10Y Treasury-006,Bond,US 10Y Treasury,Rates,USD,47761960,-3823123.817,0.4487237652843277,0.23847054996938988,-9.69E-05,-0.049649695,-0.003929126,0.22943739005766173
EUR/USD-006,FX Forward,EUR/USD,FX,USD,39218828,-3694389.738,1.1770510910334513,0.2956971682957026,-0.000252012,-0.096245045,-0.004426413,-0.029058648
EUR/USD Call Option-007,FX Option,EUR/USD Call Option,FX,USD,8003797,-8788954.875,-0.088334951,0.16912762517090735,-0.019773529,-1.10992729,-0.298578681,0.12797630970368878
AAPL Call Option-011,Equity Option,AAPL Call Option,Equity,USD,12605703,3736424.3198459186,0.3743348245069587,0.10512192656775798,-0.003483261,2.2933484152566916,-0.066778438,0.089477171
Bund 10Y-013,Bond,Bund 10Y,Rates,EUR,11804145,1356521.8279916793,0.5343642898168869,0.13171816350987442,0.000264668,-0.031208629,-0.002740384,-0.163457447
Gold-010,Commodity Future,Gold,Commodity,USD,7149985,-3011497.746,1.0230093656399772,0.14166015485195776,0.000644678,0.028287766,0.003099913,0.008308054
Bund 10Y-014,Bond,Bund 10Y,Rates,EUR,41160593,4103779.5783470925,0.1874300336498386,0.1587203910187423,-4.97E-05,-0.019288126,-0.004411119,0.8255592483345091
AAPL-009,Equity,AAPL,Equity,USD,7126206,747154.9845375437,-0.061904686,0.28097811672440576,0.001034044,-0.361076501,0.018522720984037896,0.020043019779306157
AAPL-010,Equity,AAPL,Equity,USD,4347328,-615101.0826,-0.359479647,0.3931445979742844,0.001058896,0.072120712,0.019934864804730588,0.004231524
Gold-011,Commodity Future,Gold,Commodity,USD,18328685,226490.8732225299,-0.748643984,0.39588831091470283,-0.000721306,0.26644096194098577,-0.033850726,0.02531743
EUR/USD Call Option-008,FX Option,EUR/USD Call Option,FX,USD,30683887,2726962.5053411312,-0.772383126,0.050053663,-0.002309793,1.3527905889278458,0.015565435720092002,0.12009835260550272
Gold-012,Commodity Future,Gold,Commodity,USD,36955306,3200052.091,0.36003465737991375,0.5565267167941199,-0.001030142,-0.100228955,-0.021317789,0.005215261
EUR/USD-007,FX Forward,EUR/USD,FX,USD,21613632,-4220843.617,-0.293463039,0.5025659492927769,0.000129098,0.23379748924429822,-0.000855247,0.014763372336415217
Gold-013,Commodity Future,Gold,Commodity,USD,20941213,-7185132.732,-1.995856611,0.5801659216898218,0.002165693,0.1427525318164614,-0.033448714,-0.013844174
TSLA-010,Equity,TSLA,Equity,USD,8402975,-6867316.376,-0.155247617,0.24799248960160608,0.000241274,-0.087535007,-0.014195124,-0.001821846
Bund 10Y-015,Bond,Bund 10Y,Rates,EUR,13201446,2787817.7180600334,0.6382985248003392,0.4156396021791683,-1.54E-05,0.037549871,0.000923143,-0.567588334
US 10Y Treasury-007,Bond,US 10Y Treasury,Rates,USD,39780895,7457465.715342518,-0.16510294,0.1424114120908534,-4.21E-05,-0.020279244,0.000354899,0.056337178920298436
WTI Crude Oil-011,Commodity Future,WTI Crude Oil,Commodity,USD,8537534,-1810074.433,-1.85333593,0.49936816497118475,0.001779684,0.4109739466200292,-0.016259611,0.019531063183785773
EUR/USD Call Option-009,FX Option,EUR/USD Call Option,FX,USD,39065244,-6609596.793,-0.099473542,0.13875224762490285,0.010928862794447746,-1.673866369,-0.084547153,-0.142420888
Gold-014,Commodity Future,Gold,Commodity,USD,48609615,5132049.9658770915,0.7849745223095677,0.22929213544426225,0.000137108,-0.259174201,0.004423797,-0.00336091
USD/JPY-009,FX Forward,USD/JPY,FX,USD,48034957,6649789.4883889705,0.2423983160964372,0.31995917077084074,-0.000171579,-0.385200795,0.007547448,-0.022473066
AAPL-011,Equity,AAPL,Equity,USD,22984398,7611648.862,-0.428074443,0.37699241786901266,0.000503094,0.084917801,0.009117583,0.017810224
TSLA-011,Equity,TSLA,Equity,USD,19656276,2136628.5782746635,1.8482888956341395,0.3577981633577023,0.000958369,-0.308495864,-0.019987848,-0.012232437
AAPL Call Option-012,Equity Option,AAPL Call Option,Equity,USD,583791,7214571.187761694,1.5199623140895915,0.10615280644049849,0.005965596,-0.865888119,-0.175171534,0.005733689
WTI Crude Oil-012,Commodity Future,WTI Crude Oil,Commodity,USD,26936754,-9691700.831,-0.098425035,0.28192180157511804,0.000774974,0.091179368,-0.011207163,0.008441921
EUR/USD Call Option-010,FX Option,EUR/USD Call Option,FX,USD,15474160,-7855283.965,0.6507563518339367,0.5576000953132024,-0.02227479,2.903824555980999,-0.059051394,0.012698215731069466
US 10Y Treasury-008,Bond,US 10Y Treasury,Rates,USD,19035930,-8148478.659,0.23549663313107164,0.5298026902635183,-7.55E-05,-0.005608626,-0.007008695,-0.337235841
WTI Crude Oil-013,Commodity Future,WTI Crude Oil,Commodity,USD,11936889,4252093.685,0.7814429004617206,0.3749309377900518,-0.000492673,-0.404989879,-0.020944525,-0.002133367
Gold-015,Commodity Future,Gold,Commodity,USD,9284874,-8608364.329,1.4532715173139612,0.36477851649948073,0.000647773,0.41025206432713857,-0.012374515,0.01807302
EUR/USD-008,FX Forward,EUR/USD,FX,USD,19499496,-72712.55067,0.9842232544009382,0.1114213504571316,-0.000249245,-0.136211585,-0.008162277,0.036526952353686304
AAPL-012,Equity,AAPL,Equity,USD,13417681,-545862.0273,0.087705345,0.16014269877066686,-0.001436301,0.049817028,-0.040322369,-0.004144472
AAPL-013,Equity,AAPL,Equity,USD,4325872,-3785929.529,-0.653505648,0.18895185843225282,2.5997978002719214e-05,0.14402967392959837,-0.019194466,-0.010195995
AAPL Call Option-013,Equity Option,AAPL Call Option,Equity,USD,13480190,7408103.398841996,-0.649509503,0.31850765068809306,-0.008310417,1.7464362705797922,0.028498233520106026,-0.069377187
EUR/USD-009,FX Forward,EUR/USD,FX,USD,42704299,-6591335.962,-0.030645807,0.45224582645264527,-0.000429194,0.016306764014777275,0.003061992,-0.007831802
Bund 10Y-016,Bond,Bund 10Y,Rates,EUR,42653366,-2950744.312,0.6949107259189786,0.303398946,-5.00E-05,0.044228079104302806,-0.005554675,0.2265704433419099
MSFT-007,Equity,MSFT,Equity,USD,1345749,5483430.000458583,0.3005208697022348,0.11933357301056875,-0.00055604,0.17832153592699213,-0.005202727,-0.00098377
TSLA-012,Equity,TSLA,Equity,USD,19104157,-9391553.712,0.053056646,0.29164188235625926,4.379930191327635e-05,0.11252157910214855,-0.013216292,0.007878027
AAPL-014,Equity,AAPL,Equity,USD,18295396,3459008.0049273726,0.25727152381254337,0.1394482895618886,-0.000805544,-0.017760676,-0.00697022,0.007448664
USD/JPY-010,FX Forward,USD/JPY,FX,USD,29962122,6327954.527231412,0.042891434883433575,0.4631310434310864,-0.001107426,0.051494990116534495,0.00521362,-0.035417832
AAPL-015,Equity,AAPL,Equity,USD,48700834,8645356.776763346,0.5472366858944854,0.14157547322251846,0.000332096,-0.209350409,-0.011216899,-0.002503851
WTI Crude Oil-014,Commodity Future,WTI Crude Oil,Commodity,USD,8337881,7525932.809829697,-1.122961579,0.31539369424945113,-0.000340417,-0.198448858,-0.019644758,-0.013378259
AAPL-016,Equity,AAPL,Equity,USD,19896183,-3612317.663,-1.975247668,0.43137748146360105,0.002234354,0.14425567290584287,-0.014447681,-0.025832814
EUR/USD Call Option-011,FX Option,EUR/USD Call Option,FX,USD,16593750,1727282.826459052,-0.34012004,0.1755089351698647,0.00198959,2.795975375988735,-0.181365895,-0.041657307
AAPL-017,Equity,AAPL,Equity,USD,37381336,-8454130.137,-1.149073821,0.091816559,-0.000341924,-0.391220993,-0.035406828,-0.004263509
MSFT-008,Equity,MSFT,Equity,USD,14559536,-4842599.929,1.6151380541856668,0.35981471184111175,-0.001067099,0.025674054214892137,-0.002270525,0.003153581
MSFT-009,Equity,MSFT,Equity,USD,49041990,-8115552.425,-0.15847686,0.079811465,-0.000421009,0.1692484459245865,-0.022837994,0.017030314
US 10Y Treasury-009,Bond,US 10Y Treasury,Rates,USD,10021625,-3696254.197,-0.151724007,0.37327275363249235,-2.55E-05,-0.035215883,0.000795953,-0.250561976
Bund 10Y-017,Bond,Bund 10Y,Rates,EUR,39565270,7503744.2691745795,-0.922892421,0.4644241956724107,0.000212683,-0.017026378,0.001314699,-0.298277176
USD/JPY-011,FX Forward,USD/JPY,FX,USD,17912427,-3056663.207,0.33850323943225685,0.23112379541976857,-3.24E-05,0.1298509254212098,-0.0056553,-0.029152206
AAPL-018,Equity,AAPL,Equity,USD,2289568,1237962.0600285288,-0.623612134,0.31859217499438064,0.000232828,-0.489252756,-0.014700784,0.013642617834686167
AAPL-019,Equity,AAPL,Equity,USD,34301554,-1332383.038,1.1218222632388664,0.5608190110237206,-0.002788254,0.260389686,-0.014630736,-0.010924287
TSLA-013,Equity,TSLA,Equity,USD,3882164,-821669.514,0.8412210310146858,0.3091098752965538,0.001767521,0.20096669283065685,-0.014643301,-0.009863516
MSFT-010,Equity,MSFT,Equity,USD,1861331,9391441.036731165,-0.775896101,0.5981047337663639,0.001503005,0.064771867,-0.024975817,0.004936698
USD/JPY-012,FX Forward,USD/JPY,FX,USD,19770186,-4076910.635,0.49285972820462476,0.13635132624672008,0.000244922,0.13188842215478086,-0.008621915,-0.029513845
AAPL Call Option-014,Equity Option,AAPL Call Option,Equity,USD,33969747,2546489.3904634267,-2.177932883,0.439913646,-0.025743662,1.1425799843360476,-0.46019756,0.079320023
US 10Y Treasury-010,Bond,US 10Y Treasury,Rates,USD,8639202,-1598746.608,-0.403982879,0.40894022900848964,-0.000109831,-0.001502081,-0.000665923,0.17541873305922076
Bund 10Y-018,Bond,Bund 10Y,Rates,EUR,42763932,-8777076.379,0.7477329174966606,0.5297676474394799,-0.00042167,0.009664139,0.001065476,-1.067429307
EUR/USD-010,FX Forward,EUR/USD,FX,USD,23653648,-213383.3675,0.9482496338422797,0.10084376659479741,0.000292897,-0.175685333,-0.00710673,-0.056759146
Bund 10Y-019,Bond,Bund 10Y,Rates,EUR,33537995,6266866.580902167,0.10520453307790444,0.2041136253259992,-5.17E-05,-0.039753288,-0.002574302,-0.848619346
EUR/USD Call Option-012,FX Option,EUR/USD Call Option,FX,USD,29329727,-8024940.626,-0.023435681,0.12269857416818439,0.012995887,1.2942194855618245,-0.067596013,0.081885191
WTI Crude Oil-015,Commodity Future,WTI Crude Oil,Commodity,USD,47319465,-8608163.052,-1.419514257,0.5632023172495568,0.000614019,0.09450638,-0.014278224,0.018180972380095525
EUR/USD Call Option-013,FX Option,EUR/USD Call Option,FX,USD,29645279,-6927369.592,-1.087973059,0.2846494285548914,-0.008888343,1.3249973276769815,-0.086629774,-0.150536578
AAPL-020,Equity,AAPL,Equity,USD,37613447,5288002.227786122,0.22341155858105105,0.550536215,0.003104724,0.5279651445972118,-0.028784743,-0.006015817
US 10Y Treasury-011,Bond,US 10Y Treasury,Rates,USD,27398766,4479907.682894759,1.0570676590775272,0.21192384689735244,0.000342545,-0.02300262,-0.001197228,0.48012532342697434
WTI Crude Oil-016,Commodity Future,WTI Crude Oil,Commodity,USD,11161060,1300355.3781222105,-2.170889847,0.11950245574890853,-8.20E-05,0.5589782730757105,-0.010348851,0.015784654288651733
USD/JPY-013,FX Forward,USD/JPY,FX,USD,2314979,-635471.9181,0.7541858052981633,0.2130955,-0.000264279,-0.150917375,-0.002963241,-0.050779893
EUR/USD-011,FX Forward,EUR/USD,FX,USD,41008724,7766516.294052441,0.7214358312021939,0.37844589763042685,-8.65E-05,0.24368786531904077,-0.011542954,0.002626029
MSFT-011,Equity,MSFT,Equity,USD,33850643,5333956.4766696505,0.9507578580526358,0.5148779254815249,-0.003106604,-0.525048587,-0.023558854,0.005093228
US 10Y Treasury-012,Bond,US 10Y Treasury,Rates,USD,1936082,6238845.026036104,-0.521548,0.26196488127374823,-0.000284806,0.029011847,0.000587153,-0.333278683
US 10Y Treasury-013,Bond,US 10Y Treasury,Rates,USD,31993172,6265246.027013086,-0.317404243,0.5531447625894163,-0.001190241,-0.00082559,-0.004768236,0.035832343473604915
EUR/USD Call Option-014,FX Option,EUR/USD Call Option,FX,USD,35892131,2854343.095,0.036547276,0.1843276328228608,-0.005794619,-1.499858674,-0.227733223,-0.092116417
AAPL-021,Equity,AAPL,Equity,USD,49592558,-839707.5137,-1.027551811,0.4314473780170717,-0.002847353,-0.102746821,-0.000693352,-0.003507861
Gold-016,Commodity Future,Gold,Commodity,USD,29606320,7293555.051713008,-1.229289299,0.4546423427652497,0.000113272,-0.062430028,-0.007831281,0.005448447
